"","mu_col[, 1]"
"1",2.95524625264945
"2",2.95524625264945
"3",2.95524625264945
"4",2.95524625264945
"5",2.95524625264945
"6",2.95524625264945
"7",2.95524625264945
"8",2.95524625264945
"9",2.95524625264945
"10",2.95524625264945
"11",2.95524625264945
"12",2.95524625264945
"13",2.95524625264945
"14",2.95524625264945
"15",2.95524625264945
"16",2.95524625264945
"17",2.95524625264945
"18",2.95524625264945
"19",2.95524625264945
"20",2.95524625264945
"21",2.95524625264945
"22",2.95524625264945
"23",2.95524625264945
"24",2.95524625264945
"25",2.95524625264945
"26",2.95524625264945
"27",2.95524625264945
"28",2.95524625264945
"29",2.95524625264945
"30",2.95524625264945
"31",2.95524625264945
"32",2.95524625264945
"33",2.95524625264945
"34",2.95524625264945
"35",2.95524625264945
"36",2.95524625264945
"37",2.95524625264945
"38",2.95524625264945
"39",2.95524625264945
"40",2.95524625264945
"41",2.95524625264945
"42",2.95524625264945
"43",2.95524625264945
"44",2.95524625264945
"45",2.95524625264945
"46",2.95524625264945
"47",2.95524625264945
"48",2.95524625264945
"49",2.95524625264945
"50",2.95524625264945
"51",2.95524625264945
"52",2.95524625264945
"53",2.95524625264945
"54",2.95524625264945
"55",2.95524625264945
"56",3.06301043729726
"57",3.5165407426687
"58",3.5165407426687
"59",2.91275197770917
"60",2.79891910290906
"61",2.81728463714271
"62",2.74803540056125
"63",2.77643644751484
"64",2.76252224659774
"65",2.82026628580393
"66",2.71884304243183
"67",2.79019409406586
"68",2.81077480858115
"69",2.78688257398756
"70",2.75396413897936
"71",2.8288039248039
"72",2.78437502168752
"73",2.71964895704685
"74",2.76800733643681
"75",2.79058017613843
"76",2.78272365249647
"77",2.76433896779706
"78",2.82483992123183
"79",2.76777066487247
"80",2.7902431524586
"81",2.778099296877
"82",2.78883195273074
"83",2.75433266525202
"84",2.74945398565658
"85",2.75318105734139
"86",2.78794021752368
"87",2.77906785422783
"88",2.79923353969925
"89",2.76724067910941
"90",2.81055006966363
"91",2.73524486580949
"92",2.82444281355262
"93",2.7806646800149
"94",2.77683421628186
"95",2.80693968232877
"96",2.78582271050153
"97",2.81806262914637
"98",2.82459449388837
"99",2.79357670945046
"100",2.8197124073896
"101",2.76386426025821
"102",2.80537650812294
"103",2.75360491803838
"104",2.81464355917801
"105",2.75064133078313
"106",2.78768080149443
"107",2.80031536297087
"108",2.78103102073332
"109",2.80380469343818
"110",2.75388602335633
"111",2.78295760763602
"112",2.87278448202381
"113",2.71380910434614
"114",2.85118470910959
"115",2.77276393073904
"116",2.74406163588897
"117",2.80024912181062
"118",2.82567476553233
"119",2.76613337648847
"120",2.82070465793931
"121",2.81088872309485
"122",2.81631601365192
"123",2.83120603798751
"124",2.74992436002786
"125",2.78394049286679
"126",2.86596273477394
"127",2.82467116447642
"128",2.78040949016095
"129",2.80392397243019
"130",2.80729880631079
"131",2.784415342578
"132",2.78946685799458
"133",2.79477475661773
"134",2.81293399646033
"135",2.82269984256325
"136",2.79153824348077
"137",2.7664930214784
"138",2.78757844292298
"139",2.7659458545772
"140",2.74169452776384
"141",2.834444622739
"142",2.71061736318335
"143",2.76248096049051
"144",2.8060781179391
"145",2.79181421780187
"146",2.77158743924652
"147",2.80879207647182
"148",2.76377189339662
"149",2.80017264724655
"150",2.76301997842536
"151",2.76060343224984
"152",2.78467349454931
"153",2.79470644216136
"154",2.755319255469
"155",2.83265729636757
"156",2.79133896000322
"157",2.82250304741634
"158",2.79234078671082
"159",2.81204084085022
"160",2.77920584525893
"161",2.81420722770945
