"","sigma_col[, 1]"
"1",0.646881084531422
"2",0.646881084531422
"3",0.646881084531422
"4",0.646881084531422
"5",0.646881084531422
"6",0.646881084531422
"7",0.646881084531422
"8",0.646881084531422
"9",0.646881084531422
"10",0.646881084531422
"11",0.646881084531422
"12",0.646881084531422
"13",0.646881084531422
"14",0.646881084531422
"15",0.646881084531422
"16",0.646881084531422
"17",0.646881084531422
"18",0.646881084531422
"19",0.646881084531422
"20",0.646881084531422
"21",0.646881084531422
"22",0.646881084531422
"23",0.646881084531422
"24",0.646881084531422
"25",0.646881084531422
"26",0.646881084531422
"27",0.646881084531422
"28",0.646881084531422
"29",0.646881084531422
"30",0.646881084531422
"31",0.646881084531422
"32",0.646881084531422
"33",0.646881084531422
"34",0.646881084531422
"35",0.646881084531422
"36",0.646881084531422
"37",0.646881084531422
"38",0.646881084531422
"39",0.646881084531422
"40",0.646881084531422
"41",0.646881084531422
"42",0.646881084531422
"43",0.646881084531422
"44",0.646881084531422
"45",0.646881084531422
"46",0.646881084531422
"47",0.646881084531422
"48",0.646881084531422
"49",0.646881084531422
"50",0.646881084531422
"51",0.646881084531422
"52",0.646881084531422
"53",0.646881084531422
"54",0.646881084531422
"55",0.646881084531422
"56",0.31450970146083
"57",0.12550913469031
"58",0.12550913469031
"59",-0.219741210174041
"60",-0.316820826454367
"61",-0.287894932611234
"62",-0.299825846846767
"63",-0.272786230673191
"64",-0.335218950157585
"65",-0.240357429940826
"66",-0.346902568474947
"67",-0.271368483773248
"68",-0.279763443054179
"69",-0.274937211723128
"70",-0.318156868835596
"71",-0.235574707821525
"72",-0.290319225687914
"73",-0.364051564074174
"74",-0.315535951540877
"75",-0.301193384264424
"76",-0.264274012667664
"77",-0.26538084586483
"78",-0.241770086468701
"79",-0.290087966643259
"80",-0.255299389169188
"81",-0.255880148893844
"82",-0.256654629674846
"83",-0.290566335925206
"84",-0.324072826815482
"85",-0.320134726223149
"86",-0.290208243817005
"87",-0.288165802653787
"88",-0.247194451582082
"89",-0.29954426053627
"90",-0.207025386379771
"91",-0.368581721907625
"92",-0.217581845749451
"93",-0.276747331167857
"94",-0.284515438987688
"95",-0.279607872898135
"96",-0.255220462372001
"97",-0.223023840782662
"98",-0.202217081094935
"99",-0.235879042094916
"100",-0.211246320874495
"101",-0.257697038807193
"102",-0.251051038756772
"103",-0.30271111725044
"104",-0.243051260752293
